"Offset(P)","Proto","LocalAddr","ForeignAddr","State","PID","Owner","Created","Hostname","Investigated"
"1.4078E+14","UDPv4","192.168.157.1:1900","*:*","","12008","svchost.exe","2019-02-13 23:33:33 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6","::1:1900","*:*","","12008","svchost.exe","2019-02-13 23:33:33 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","192.168.23.1:54258","*:*","","12008","svchost.exe","2019-02-13 23:33:33 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","192.168.157.1:54257","*:*","","12008","svchost.exe","2019-02-13 23:33:33 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","192.168.35.3:54259","*:*","","12008","svchost.exe","2019-02-13 23:33:33 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6","fe80::cc3d:937b:53ac:ad96:1900","*:*","","12008","svchost.exe","2019-02-13 23:33:33 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","127.0.0.1:1900","*:*","","12008","svchost.exe","2019-02-13 23:33:33 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","192.168.35.3:1900","*:*","","12008","svchost.exe","2019-02-13 23:33:33 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","192.168.23.1:1900","*:*","","12008","svchost.exe","2019-02-13 23:33:33 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6","fe80::4171:54be:a318:2f4f:1900","*:*","","12008","svchost.exe","2019-02-13 23:33:33 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","127.0.0.1:54260","*:*","","12008","svchost.exe","2019-02-13 23:33:33 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","0.0.0.0:27036","0.0.0.0:0","LISTENING","16208","Steam.exe","2019-02-15 01:13:02 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","127.0.0.1:49730","127.0.0.1:49729","ESTABLISHED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60477","151.101.48.133:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","127.0.0.1:49729","127.0.0.1:49730","ESTABLISHED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","127.0.0.1:62439","*:*","","8060","NVIDIA Web Hel","2019-02-13 23:34:10 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:5353","*:*","","13888","chrome.exe","2019-02-13 23:35:03 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::5353","*:*","","13888","chrome.exe","2019-02-13 23:35:03 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:51635","*:*","","2844","svchost.exe","2019-02-15 02:04:27 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::51635","*:*","","2844","svchost.exe","2019-02-15 02:04:27 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60500","162.254.199.137:80","ESTABLISHED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:58575","104.16.60.37:443","ESTABLISHED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","192.168.157.1:5353","*:*","","3424","nvcontainer.ex","2019-02-13 23:34:10 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:56869","*:*","","2844","svchost.exe","2019-02-15 02:04:01 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::56869","*:*","","2844","svchost.exe","2019-02-15 02:04:01 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:50450","*:*","","2844","svchost.exe","2019-02-15 02:04:21 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::50450","*:*","","2844","svchost.exe","2019-02-15 02:04:21 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:59079","*:*","","2844","svchost.exe","2019-02-15 02:04:11 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::59079","*:*","","2844","svchost.exe","2019-02-15 02:04:11 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:60858","*:*","","16208","Steam.exe","2019-02-15 02:03:23 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::60858","*:*","","16208","Steam.exe","2019-02-15 02:03:23 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:0","*:*","","13888","chrome.exe","2019-02-15 02:02:26 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::0","*:*","","13888","chrome.exe","2019-02-15 02:02:26 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:55044","*:*","","2844","svchost.exe","2019-02-15 02:04:54 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::55044","*:*","","2844","svchost.exe","2019-02-15 02:04:54 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:5355","*:*","","2844","svchost.exe","2019-02-15 02:03:16 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::5355","*:*","","2844","svchost.exe","2019-02-15 02:03:16 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:0","*:*","","16208","Steam.exe","2019-02-15 02:05:17 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::0","*:*","","16208","Steam.exe","2019-02-15 02:05:17 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:61634","*:*","","2844","svchost.exe","2019-02-15 02:04:55 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::61634","*:*","","2844","svchost.exe","2019-02-15 02:04:55 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","127.0.0.1:65001","127.0.0.1:49925","ESTABLISHED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60449","74.125.1.152:443","CLOSED","-1","","2312-04-25 09:19:37 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60065","23.43.62.193:443","CLOSED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:53941","*:*","","2844","svchost.exe","2019-02-15 02:04:54 UTC+0000","DESKTOP-NBVE6KH","false"
